Statement,TestedWord,TestedWordX,TestedWordY,TestedWordWidth,RespOpt1,RespOpt1Width,RespOpt2,RespOpt2Width,RespOpt3,RespOpt3Width,RespOpt4,RespOpt4Width,RespOpt5,RespOpt5Width,CorrectResp
To savor is to,savor,52,175,39,enjoy,31,keep,28,cure,25,wash,30,cook slowly,68,1
An imperative decision is,imperative,55,313,74,improper,51,urgent,36,hopeless,52,unnecessary,74,constructive,69,2
Donned means,Donned,32,37,56,put on,36,started,40,taken off,50,sat down,52,sounded,49,1
Discerned means,Discerned,32,175,73,disappeared,70,perceived,54,scowled,47,heard,32,soothed,46,2
A vindictive person is,vindictive,46,313,65,hopeful,41,strong,36,mild-mannered,85,practical,49,spiteful,41,5
Comatose means,Comatose,32,37,74,unconscious,73,punctuated,64,slow,26,free-flowing,64,hostile,38,1
A credo is a,credo,46,175,41,small opening,80,clue,24,ridge,28,statement of belief,107,tall plume,56,4
Aeons are,Aeons,32,313,46,years,32,aches,35,endeavors,58,ages,28,seeds,35,4
To degrade is to,degrade,52,37,60,debase,42,deliver,37,bulldoze,48,evaluate,47,suspect,46,1
Maxims are,Maxims,32,175,55,crowds,41,minutes,46,essays,42,gadgets,46,sayings,45,5
An impending crisis is,impending,55,313,74,severe,37,unexpected,67,personal,49,approaching,70,obvious,43,4
Facets refer to,Facets,32,37,49,causes,42,groups,39,aspects,46,truths,33,skills,30,3
To reiterate is to,reiterate,52,175,59,repeat,36,reject,32,trace,29,destroy,43,write,27,1
To play havoc is to,havoc,84,313,42,fight,24,aid,17,ruin,21,shelter,40,acquire,42,3
Impeccable means,Impeccable,32,37,81,immovable,61,imminent,53,subtle,35,flawless,46,authoritative,69,4
Ineptness means,Ineptness,32,175,67,awkwardness,78,strangeness,71,wildness,50,vagueness,61,willingness,63,1
To trudge is to,trudge,52,313,45,plod,24,hasten,39,loiter,29,plunge,38,walk,26,1
Malleability refers to,Malleability,32,37,78,brittleness,60,smallness,59,density,42,evenness,54,pliability,47,5
A palatable dish is,palatable,46,175,65,large,28,smooth,43,tasty,29,bland,31,healthful,48,3
A simpleton is,simpleton,46,313,68,self-conscious,83,strange,43,crazy,32,silly,23,sympathetic,71,4
To impair is to,impair,52,37,45,match,36,fix,13,practice,46,injure,31,improve,44,4
Adversity is,Adversity,32,175,65,faith,24,progress,50,worry,31,misfortune,60,capability,55,4
Provocation refers to,Provocation,32,313,84,training,42,stimulation,63,lying,27,occupation,63,opening,45,2
A terse statement is,terse,46,37,36,wordy,34,awkward,50,spicy,31,short,29,legal,27,4
To stymie is to,stymie,52,175,46,by-pass,46,accelerate,60,obstruct,47,strike,32,fail,16,3
Unduly means,Unduly,32,313,47,shortly,39,lively,28,wavy,28,excessively,67,moderately,64,4
A melancholy individual is,melancholy,46,37,78,sad,21,sick,24,playful,37,tender,37,sentimental,67,1
To succumb is to,succumb,52,175,63,help,24,prosper,44,search,39,sue,21,yield,27,5
Fluted means,Fluted,32,313,44,grooved,44,perforated,57,inserted,46,excited,42,flourished,55,1
A dour official is,dour,46,37,32,ancient,42,sick,24,clever,34,distrustful,56,ill-tempered,67,5
Ire refers to,Ire,32,175,18,irritation,46,anger,33,pain,24,faults,31,suggestions,70,2
To conjure is to,conjure,52,313,51,join,20,call up,38,heal,24,plot,21,judge,31,2
A congenial person is considered,congenial,46,37,68,agreeable,56,knowledgeable,85,well-born,51,talkative,47,quiet,28,1
To be impeded is to be,impeded,74,175,63,hurried,39,tormented,58,accused,49,improved,51,hindered,49,5
Kindred spirits are,Kindred,32,313,56,kind,24,strange,43,alike,27,young,35,unusual,45,3
A mire is a,mire,46,37,32,small mirror,69,farm,25,sharp glance,74,bog,21,breed of cat,68,4
To be disparaging is to be,disparaging,74,175,84,self-seeking,69,controlling,59,displaying,58,quieting,45,belittling,48,5
Invariably means,Invariably,32,313,65,irregularly,56,always,40,seldom,42,usually,41,frequently,56,2
Expository material is,Expository,32,37,74,descriptive,61,poetic,35,theoretical,60,lengthy,42,explanatory,67,5
Lucrative means,Lucrative,32,175,64,brilliant,41,practical,49,profitable,52,established,66,inventive,48,3
To derogate is to,derogate,52,313,64,open,28,depend,42,support,43,detract,40,tranquilize,59,4
Autonomy means,Autonomy,32,37,70,technical perfection,112,independence,80,motor-driven,70,composite,60,welfare,40,2
An incisive comment is,incisive,55,175,53,questioning,66,harsh,32,unclear,43,ordinary,46,penetrating,64,5
An unprecedented move is,unprecedented,55,313,105,unexampled,70,uncertain,53,inexact,42,customary,61,pressured,57,1
Squalid suggests something,Squalid,32,37,54,irregular,47,flat,17,square,39,soft,21,filthy,27,5
To be inundated is to be,inundated,74,175,69,washed,44,occupied,52,touched,46,flooded,41,discovered,61,4
To sit pensively is to sit,pensively,72,313,65,quietly,38,tiredly,35,thoughtfully,66,restlessly,56,stiffly,30,3
Tenets are,Tenets,32,37,46,doctrines,53,renters,40,occupants,60,lawyers,44,structures,58,1
Veritably means,Veritably,32,175,61,absolutely,59,verbally,43,similarly,48,hopefully,51,truly,25,5
An imminent change is,imminent,55,313,64,important,54,impending,59,timely,35,uncertain,53,drastic,39,2
Condiments are,Condiments,32,37,85,conditions,59,shelters,46,habits,35,contracts,54,seasonings,66,5
